title,description,salary_min_net,salary_max_net,skills_required,location,experience_range,source_url
Продавец магазина Магнит,"Широкая сеть магазинов «Магнит» — это не просто работа рядом с домом. Это возможность выбрать из всех магазинов тот, который ближе всего к семье и детям. Работай в «Магните» и получай: Социальные гарантии Официальное трудоустройство с 1-го рабочего дня по ТК РФ Оплачиваемый отпуск, больничный Стабильная белая зарплата два раза в месяц на банковскую карту Медицинская книжка и ежегодные медосмотры за счёт компании. Комфортные условия Удобный график работы: выбирай полную или частичную занятость, совмещай с другой работой или очным обучением. В некоторых магазинах тебе будут доступны ночные смены Бесплатная форменная одежда Опыт работы не важен - мы всему обучим и поддержим тебя на всех этапах Возможность зарабатывать больше Премия за квалификацию Доплата за ночные часы (+20%) Оплата за участие в ревизиях Оплачиваемые подработки Возможность карьерного роста с увеличением дохода Кэшбэк до 50% в семье магазинов Магнит с бесплатной подпиской «Магнит Плюс Премиум» Выплаты по акции «Приведи друга» до 8 000 руб. за каждого оформленного В нашей команде ты будешь: Выкладывать товар на полки в соответствии со стандартами компании Контролировать товарный вид и сроки годности продукции Обслуживать покупателей на кассе, обеспечивая качественный сервис Устанавливать и актуализировать ценники с помощью мобильного принтера Помогать покупателям в выборе товаров Собирать онлайн-заказы Забота о людях — это ДНК нашей корпоративной культуры. Поэтому, работая в «Магните», ты: Участвуешь в конкурсах профессионального мастерства, корпоративных мероприятиях для сотрудников и их семей Получаешь новогодние подарки для детей и возможность отдыхать в санаториях Остаешься с нами даже при переезде в другой город! Наши магазины есть в более чем 4 000 населенных пунктах России. Не обязателен, но приветствуется опыт работы на аналогичных должностях: продавец-консультант, продавец, кассир, специалист по продажам, работник торгового зала в компаниях Перекресток, Пятерочка, Азбука Вкуса, ВкусВилл, Лента, Красное и Белое, Окей, Карусель, Верный, Ашан, Метро, Магнолия и других розничных сетях. «Магнит» — лидер по количеству магазинов. Благодаря каждому сотруднику компания может развиваться и расти дальше. Мы гордимся, что люди приходят работать в компанию, и остаются с нами надолго: ежегодно около 6 000 человек отмечают 10-летие работы в «Магните», получая «Золотой значок». Всего в компании работает 21 000 «золотых» сотрудников! Работай в крупнейшем ритейлере страны с развитыми IT технологиями.
Образование: Не указано",26400,39600,"КТ, Гарант, СП, ОТК, ТК РФ",Каспийск,0 лет,https://trudvsem.ru/vacancy/card/1027700404797/8a7fa765-4b73-11f1-999a-b7410820bc57
Продавец магазина Магнит,"Широкая сеть магазинов «Магнит» — это не просто работа рядом с домом. Это возможность выбрать из всех магазинов тот, который ближе всего к семье и детям. Работай в «Магните» и получай: Социальные гарантии Официальное трудоустройство с 1-го рабочего дня по ТК РФ Оплачиваемый отпуск, больничный Стабильная белая зарплата два раза в месяц на банковскую карту Медицинская книжка и ежегодные медосмотры за счёт компании. Комфортные условия Удобный график работы: выбирай полную или частичную занятость, совмещай с другой работой или очным обучением. В некоторых магазинах тебе будут доступны ночные смены Бесплатная форменная одежда Опыт работы не важен - мы всему обучим и поддержим тебя на всех этапах Возможность зарабатывать больше Премия за квалификацию Доплата за ночные часы (+20%) Оплата за участие в ревизиях Оплачиваемые подработки Возможность карьерного роста с увеличением дохода Кэшбэк до 50% в семье магазинов Магнит с бесплатной подпиской «Магнит Плюс Премиум» Выплаты по акции «Приведи друга» до 8 000 руб. за каждого оформленного В нашей команде ты будешь: Выкладывать товар на полки в соответствии со стандартами компании Контролировать товарный вид и сроки годности продукции Обслуживать покупателей на кассе, обеспечивая качественный сервис Устанавливать и актуализировать ценники с помощью мобильного принтера Помогать покупателям в выборе товаров Собирать онлайн-заказы Забота о людях — это ДНК нашей корпоративной культуры. Поэтому, работая в «Магните», ты: Участвуешь в конкурсах профессионального мастерства, корпоративных мероприятиях для сотрудников и их семей Получаешь новогодние подарки для детей и возможность отдыхать в санаториях Остаешься с нами даже при переезде в другой город! Наши магазины есть в более чем 4 000 населенных пунктах России. Не обязателен, но приветствуется опыт работы на аналогичных должностях: продавец-консультант, продавец, кассир, специалист по продажам, работник торгового зала в компаниях Перекресток, Пятерочка, Азбука Вкуса, ВкусВилл, Лента, Красное и Белое, Окей, Карусель, Верный, Ашан, Метро, Магнолия и других розничных сетях. «Магнит» — лидер по количеству магазинов. Благодаря каждому сотруднику компания может развиваться и расти дальше. Мы гордимся, что люди приходят работать в компанию, и остаются с нами надолго: ежегодно около 6 000 человек отмечают 10-летие работы в «Магните», получая «Золотой значок». Всего в компании работает 21 000 «золотых» сотрудников! Работай в крупнейшем ритейлере страны с развитыми IT технологиями.
Образование: Не указано",25600,38400,"КТ, Гарант, СП, ОТК, ТК РФ",Дербент,0 лет,https://trudvsem.ru/vacancy/card/1027700404797/7a683d15-4b73-11f1-bc24-4faf251ad06a
Продавец магазина Магнит,"Широкая сеть магазинов «Магнит» — это не просто работа рядом с домом. Это возможность выбрать из всех магазинов тот, который ближе всего к семье и детям. Работай в «Магните» и получай: Социальные гарантии Официальное трудоустройство с 1-го рабочего дня по ТК РФ Оплачиваемый отпуск, больничный Стабильная белая зарплата два раза в месяц на банковскую карту Медицинская книжка и ежегодные медосмотры за счёт компании. Комфортные условия Удобный график работы: выбирай полную или частичную занятость, совмещай с другой работой или очным обучением. В некоторых магазинах тебе будут доступны ночные смены Бесплатная форменная одежда Опыт работы не важен - мы всему обучим и поддержим тебя на всех этапах Возможность зарабатывать больше Премия за квалификацию Доплата за ночные часы (+20%) Оплата за участие в ревизиях Оплачиваемые подработки Возможность карьерного роста с увеличением дохода Кэшбэк до 50% в семье магазинов Магнит с бесплатной подпиской «Магнит Плюс Премиум» Выплаты по акции «Приведи друга» до 8 000 руб. за каждого оформленного В нашей команде ты будешь: Выкладывать товар на полки в соответствии со стандартами компании Контролировать товарный вид и сроки годности продукции Обслуживать покупателей на кассе, обеспечивая качественный сервис Устанавливать и актуализировать ценники с помощью мобильного принтера Помогать покупателям в выборе товаров Собирать онлайн-заказы Забота о людях — это ДНК нашей корпоративной культуры. Поэтому, работая в «Магните», ты: Участвуешь в конкурсах профессионального мастерства, корпоративных мероприятиях для сотрудников и их семей Получаешь новогодние подарки для детей и возможность отдыхать в санаториях Остаешься с нами даже при переезде в другой город! Наши магазины есть в более чем 4 000 населенных пунктах России. Не обязателен, но приветствуется опыт работы на аналогичных должностях: продавец-консультант, продавец, кассир, специалист по продажам, работник торгового зала в компаниях Перекресток, Пятерочка, Азбука Вкуса, ВкусВилл, Лента, Красное и Белое, Окей, Карусель, Верный, Ашан, Метро, Магнолия и других розничных сетях. «Магнит» — лидер по количеству магазинов. Благодаря каждому сотруднику компания может развиваться и расти дальше. Мы гордимся, что люди приходят работать в компанию, и остаются с нами надолго: ежегодно около 6 000 человек отмечают 10-летие работы в «Магните», получая «Золотой значок». Всего в компании работает 21 000 «золотых» сотрудников! Работай в крупнейшем ритейлере страны с развитыми IT технологиями.
Образование: Не указано",26400,35200,"КТ, Гарант, СП, ОТК, ТК РФ",Каспийск,0 лет,https://trudvsem.ru/vacancy/card/1027700404797/fef91e15-4b72-11f1-999a-b7410820bc57
Администратор магазина Магнит,"Широкая сеть магазинов «Магнит» — это не просто работа рядом с домом. Это возможность выбрать из всех магазинов тот, который ближе всего к твоей семье и детям. Работай в «Магните» и получай: Социальные гарантии Официальное трудоустройство с 1-го рабочего дня по ТК РФ Оплачиваемый отпуск, больничный Стабильная белая зарплата два раза в месяц на банковскую карту Медицинская книжка и ежегодные медосмотры за счёт компании Комфортные условия Удобный график работы с полной занятостью Бесплатная форменная одежда Обучение функционалу за счет компании и поддержка на всех этапах Возможность зарабатывать больше Премия за стаж Оплата за участие в ревизиях Оплачиваемые подработки Возможность стремительного карьерного роста с увеличением дохода Кэшбэк до 50% в семье магазинов Магнит с бесплатной для сотрудников подпиской «Магнит Плюс Премиум» Выплаты по акции «Приведи друга» до 8 000 руб. за каждого оформленного В нашей команде ты будешь: Организовывать и контролировать приемку и вести учет товара Координировать работу продавцов Участвовать в инвентаризациях Обслуживать покупателей на кассе, обеспечивая качественный сервис Контролировать выкладку и товарный вид товара, сроки годности продукции Собирать онлайн-заказы Ждем, что ты: Имеешь образование не ниже полного среднего Имеешь опыт работы в розничной торговле от 6 месяцев Владеешь на базовом уровне ПК и стандартными офисными программами (Word, Excel) Ответственно подходишь к задачам, любишь свою работу и помогать людям Забота о людях — это ДНК нашей корпоративной культуры. Поэтому, работая в «Магните», ты: Участвуешь в конкурсах профессионального мастерства, корпоративных мероприятиях для сотрудников и их семей Получаешь новогодние подарки для детей и возможность отдыхать в санаториях Остаешься с нами даже при переезде в другой город! Наши магазины есть в более чем 4 000 населенных пунктах России Не обязателен, но приветствуется опыт работы на аналогичных должностях: товаровед, продавец, продавец-консультант, работник торгового зала в компаниях Пятерочка, Красное и Белое, Монетка, Лента, Светофор, Перекресток, Окей, Азбука Вкуса, ВкусВилл, Карусель, Верный, Ашан, Метро, Магнолия и других розничных сетях. «Магнит» — лидер по количеству магазинов. Благодаря каждому сотруднику компания может развиваться и расти дальше. Мы гордимся, что люди приходят работать в компанию, и остаются с нами надолго: ежегодно около 6 000 человек отмечают 10-летие работы в «Магните», получая «Золотой значок». Всего в компании работает 21 000 «золотых» сотрудников! Работай в крупнейшем ритейлере страны с развитыми IT технологиями.
Образование: Среднее профессиональное образование. Опыт: 1",33100,43100,"Excel, Word, инвентаризация, КТ, Гарант, СП, ОТК, ТК РФ",Каспийск,1 лет,https://trudvsem.ru/vacancy/card/1027700404797/67a47f45-4af6-11f1-999a-b7410820bc57
документовед 1 категории,"прием, регистрация, сортировка и обработка документов, участие в планировании организации и совершенствовании деятельности по документационному обеспечению
Образование: Высшее образование — бакалавриат. Опыт: 1",27093,27093,"СП, ОТК",Махачкала,1 лет,https://trudvsem.ru/vacancy/card/1020502528727/963ed29f-f5e9-11f0-a027-0dd543315e5a
Шлифовщик,"шлифовка дверей
Образование: Общее образование",30000,50000,,Дагестан,0 лет,https://trudvsem.ru/vacancy/card/304054634300010/17bf07b8-4ad9-11f1-8792-db038e2b6f74
Кухонный рабочий,"ПОДСОБНЫЙ РАБОЧИЙ ПО КУХНЕ
Образование: Общее образование",30000,40000,ГОСТ,Кизилюрт,0 лет,https://trudvsem.ru/vacancy/card/305054627900025/cb355af8-4adf-11f1-9066-512467d01833
Рабочий зеленого хозяйства,"Копка почвы, рыхление, нарезка рядов, прикатывание почвы Окучивание и полив насаждений Обеспечение рабочих мест посадочным материалом
Образование: Общее образование",33901,33901,СП,Махачкала,0 лет,https://trudvsem.ru/vacancy/card/1210500006441/7d73e6f8-34ec-11f1-a643-f344d815f06b
Уборщик территории,"Уборка мусора на закрепленной территории в парках и скверах
Образование: Общее образование",27830,27830,,Махачкала,0 лет,https://trudvsem.ru/vacancy/card/1210500006441/0b19cdd8-34ed-11f1-9360-31b295f0b520
Подсобный рабочий,"погрузка-разгрузка товарно-материальных ценностей; перемещение грузов на хранение в складские помещения, распределение их в соответствующие отсеки; упаковка грузов в необходимую тару (коробки, бочки, пакеты, мешки и т.д.); поддержание в чистоте производственных помещений, складов и прилегающих у ним территорий устранение аварий, поломок, неисправностей, не требующих специальной квалификации, а также их последствий; обеспечение сохранности товарно-материальных ценностей, инвентаря, оборудования; помощь в работе другим сотрудникам лицея Оказывает помощь в транспортировке, складировании, перемещении грузов. мелкий текущий ремонт мебели, инвентаря и оборудования; сборка новой мебели; замена перегоревших лампочек, несложный ремонт осветительных приборов; помощь при проведении текущего и капитального ремонта школы
Образование: Среднее профессиональное образование. Опыт: 1",27093,30000,"ремонт, СП",Махачкала,1 лет,https://trudvsem.ru/vacancy/card/1020502631698/382458dc-4add-11f1-8792-db038e2b6f74
Фельдшер-лаборант,"Проведение лабораторных исследований . Фельдшер-лаборант самостоятельно выполняет химические макро- и микроскопические исследования биологического материала, включая кровь, желудочное содержимое, спинномозговую жидкость, выпотные жидкости, отделяемое. Также проводятся гельминтно-овоскопические исследования с использованием методов исследования геморрагического синдрома, техники бактериологических и серологических исследований. consultant.rudocs.cntd.ru Контроль качества исследований . Фельдшер-лаборант обеспечивает точность и надёжность анализов, проводит контроль качества выполняемых исследований. consultant.rumoedelo.org Ведение учётно-отчётной документации . Специалист заполняет необходимую медицинскую документацию, включая электронные формы, и контролирует качество её ведения. Соблюдение санитарно-гигиенического режима . Фельдшер-лаборант выполняет мероприятия по соблюдению санитарно-гигиенического режима в медицинской организации, правил асептики и антисептики, условий стерилизации инструментов. Это необходимо для предупреждения возможного заражения при взятии крови (например, от гепатита, ВИЧ-инфекции). consultant.rumoedelo.org Оказание доврачебной помощи при неотложных состояниях . Фельдшер-лаборант распознаёт состояния, представляющие угрозу жизни, включая клиническую смерть, и оказывает медицинскую помощь в экстренной форме. moedelo.orgmedsestra52.ru Подготовка рабочего места и оборудования . Специалист подготавливает рабочее место, реагенты, расходный материал и лабораторное оборудование для проведения исследований в соответствии со стандартными операционными процедурами. svblood.rumedsestram34.ru Первичная обработка биологического материала . Включает маркировку и регистрацию проб, подготовку их к исследованию, транспортировке или хранению, транспортировку биоматериала, хранение с соблюдением необходимых условий, а также отбраковку проб, не соответствующих установленным критериям. svblood.rumedsestram34.ru Участие в мероприятиях по обеззараживанию . Фельдшер-лаборант проводит комплекс мероприятий по обеззараживанию медицинских отходов класса Б и В, медицинских изделий, лабораторной посуды, инструментария, средств защиты. medsestram34.rubase.garant.ru Экстренная профилактика инфекций . При возникновении аварийных ситуаций с риском инфицирования медицинского персонала фельдшер-лаборант проводит первичную обработку и экстренную профилактику инфекций, связанных с оказанием медицинской помощи, при попадании биологических материалов на кожу, слизистые, при уколах, порезах. medsestram34.rubase.garant.ru Выполнение разовых поручений руководителя лаборатории, касающихся деятельности лаборатории.
Образование: Среднее профессиональное образование",30000,35000,"КТ, СП, контроль качества, ОТК","ом, Дагестан",0 лет,https://trudvsem.ru/vacancy/card/1020500562180/d8946ac9-4ad9-11f1-9066-512467d01833
Агроном,"Посев травосмеси Засыпка семян растительной смесью Удаление мхов, ветрикуляция, ремонт газона Планировка, разбивка цветника Посадка, высадка декоративных растений
Образование: Среднее профессиональное образование. Опыт: 1",40000,50000,ремонт,Избербаш,1 лет,https://trudvsem.ru/vacancy/card/1020502333488/378f30aa-4ad0-11f1-8f4a-2bcb7115eec3
Врач-онколог,"Основные должностные обязанности Оказание квалифицированной медицинской помощи с использованием современных методов профилактики, диагностики, лечения и реабилитации. moedelo.org +1 Разработка плана обследования пациента . Врач уточняет объём и методы обследования для получения необходимой диагностической информации, применяет объективные методы обследования. Выявление клинических симптомов и синдромов у пациентов с онкологическими заболеваниями или подозрением на них. Проведение дифференциальной диагностики . На основании клинических наблюдений, сбора анамнеза, данных клинико-лабораторных и инструментальных исследований врач устанавливает (подтверждает) диагноз. Он интерпретирует результаты специальных методов исследования (лабораторных, рентгенологических, радиоизотопных) и обосновывает клинический диагноз. Формулирование диагноза в соответствии с Международной статистической классификацией болезней и проблем, связанных со здоровьем (МКБ), Международной классификацией онкологических заболеваний (МКБ-О), Международной классификацией стадий злокачественных новообразований (TNM). Обоснование плана и тактики лечения в соответствии со стандартами оказания онкологической помощи. Врач определяет показания и противопоказания к операции, химиотерапии, лучевой и медикаментозной терапии, проводит необходимые реабилитационные мероприятия. Направление пациентов на инструментальное обследование и лабораторные исследования (включая морфологические, иммуногистохимические, иммунологические, молекулярно-генетические исследования) в соответствии с порядками оказания медицинской помощи, клиническими рекомендациями и стандартами. Проведение медицинских манипуляций, например: тонкоигольная аспирационная биопсия и трепанобиопсия поверхностно расположенных опухолей; диагностический лапароцентез и торакоцентез для получения жидкости из полости; стернальная пункция для получения костного мозга; мазки-отпечатки опухолей наружных локализаций. Назначение методов немедикаментозного лечения (например, лучевая терапия, фотодинамическая терапия) в зависимости от распространённости опухолевого процесса и сопутствующих заболеваний. Определение показаний к госпитализации и организация её в соответствии с состоянием пациента. Диспансерное наблюдение за пациентами после проведённого противоопухолевого лечения. Участие в проведении паллиативной помощи инкурабельным онкологическим больным. Врач определяет комплекс мер для достижения лучшего качества жизни пациентов. Назначение обезболивающих лекарственных препаратов, в том числе наркотических и психотропных, согласно порядку оказания паллиативной медицинской помощи. Консультативная помощь врачам, оказывающим первичную врачебную медико-санитарную помощь пациентам с онкологическими заболеваниями. Проведение санитарно-просветительной работы по формированию здорового образа жизни и профилактике онкологических заболеваний. Ведение медицинской документации, анализ медико-статистической информации.
Образование: Высшее образование — специалитет, магистратура",67500,86200,"рентген, КТ, терапия, ПИР, СП, ОТК",Кизляр,0 лет,https://trudvsem.ru/vacancy/card/1020502308474/9f5b8268-4ad5-11f1-8f4a-2bcb7115eec3
резчик керамических и фарфоровых изделий,"Контроль и обслуживание работы оборудования по резке керамогранитной плитки
Образование: Среднее профессиональное образование. Опыт: 3",54000,70000,,Дагестан,3 лет,https://trudvsem.ru/vacancy/card/1200500003373/f054e248-7bd5-11ef-a6bb-d549be31d974
"Контролер-приемщик фарфоровых, фаянсовых и керамических изделий","- осуществление визуального и геометрического контроля качества продукции; - сортировка продукции; - запись результатов сортировки.
Образование: Tребования не предъявляются. Опыт: 3",37000,57000,,Дагестан,3 лет,https://trudvsem.ru/vacancy/card/1200500003373/679b17f9-9839-11ef-9d1b-e73e8fa159bf
резчик керамических и фарфоровых изделий,"Контроль и обслуживание работы оборудования по резке керамогранитной плитки
Образование: Среднее профессиональное образование. Опыт: 3",54000,70000,,Дагестан,3 лет,https://trudvsem.ru/vacancy/card/1200500003373/486531b0-afdd-11f0-888c-6fbde06ed6da
Инженер-электроник,"- обеспечение бесперебойной работы оборудования АСУТП - обеспечение своевременного технического обслуживания оборудования АСУТП - своевременное и качественное выполнение ремонтных работ - участие в проверке технического состояния электронного оборудования, проведение профилактических осмотров, в приемке и освоении вновь вводимого в эксплуатацию электронного оборудования.
Образование: Среднее профессиональное образование. Опыт: 2",68000,68000,"КТ, ремонт, СП","Алмало, Дагестан",2 лет,https://trudvsem.ru/vacancy/card/1200500003373/32931c95-ef53-11ee-9091-cb26dff57dd7
Слесарь по эксплуатации и ремонту газового оборудования,"Осмотр газового оборудования предприятия. Проведение планового и срочного ремонта газового оборудования.
Образование: Среднее профессиональное образование. Опыт: 3",40100,46400,"ремонт, СП",Дагестан,3 лет,https://trudvsem.ru/vacancy/card/1200500003373/e23d2968-3846-11ef-b852-e7d0d2cf29b1
Наладчик оборудования керамического производства,"выполнение наладки и настройки оборудования, отдельных узлов и механизмов станков; - проверка исправности оборудования, подготовка её к работе, устранение обнаруженных неисправностей.
Образование: Среднее профессиональное образование. Опыт: 1",57500,57500,СП,Дагестан,1 лет,https://trudvsem.ru/vacancy/card/1200500003373/c59e6529-1034-11ee-bcfd-9586bb63c653
глазуровщик изделий строительной керамики,"- подготовка ангоба, глазури, чернил, мастики для нанесения; - глазуровка керамогранитной плиты на глазуровочной машине, нанесение рисунка на цифровом принтере; - контроль движения плиты по конвейеру и поступления на участок обжига.
Образование: Не указано",57500,57500,,"Алмало, Дагестан",0 лет,https://trudvsem.ru/vacancy/card/1200500003373/686f9bc9-1035-11ee-9bdf-dd0276383d19
Укладчик-упаковщик,"- укладка и упаковка керамогранитной плитки в пачки; - контроль за работой робота по упаковке;
Образование: Не указано",50000,50000,кладка,"ом, Дагестан",0 лет,https://trudvsem.ru/vacancy/card/1200500003373/d381c485-0952-11ef-9ae8-d549be31d974
Дробильщик-размольщик,"Эксплуатация дробильно-размольного оборудования на производстве
Образование: Не указано. Опыт: 2",57500,57500,"ремонт, строительство, СП",Дагестан,2 лет,https://trudvsem.ru/vacancy/card/1200500003373/24e2d168-3848-11ef-af04-d549be31d974
Слесарь,"Разборка-сборка фланцевых соединений Разборка-сборка простых насосов Разборка-сборка теплообменных аппаратов, подогревателей с паровым пространством, с плавающей головкой Разборка-сборка змеевиковых конденсаторов - холодильников с прямыми чугунными или стальными трубами Разборка-сборка секционных конденсаторов-холодильников Разборка-сборка жидкостных форсунок и горелок Разборка-сборка трубопроводной арматуры с рабочем давлением (Ру) до 4 МПа (мегапаскаль)
Образование: Среднее профессиональное образование",35000,40000,,Избербаш,0 лет,https://trudvsem.ru/vacancy/card/1020502333488/dd2bf87d-4ad2-11f1-9066-512467d01833
Разнорабочий,"Посев травосмеси Засыпка семян растительной смесью Удаление мхов, ветрикуляция, ремонт газона Планировка, разбивка цветника Посадка, высадка декоративных растений
Образование: Общее образование",30000,35000,ремонт,Избербаш,0 лет,https://trudvsem.ru/vacancy/card/1020502333488/247793cb-4ad2-11f1-8f4a-2bcb7115eec3
Главный специалист,"Основными обязанностями являются: камеральная обработка пространственных данных и сведений, выездные мероприятия и выполнение полевых работ, формирование землеустроительной документации (межевой план, тех план).
Образование: Высшее образование — бакалавриат",30000,40000,"СП, ОТК",Махачкала,0 лет,https://trudvsem.ru/vacancy/card/1230500006087/29e43f25-49f7-11f1-b4bd-353d35c994b0
Тьютор,"Знание педагогики и педагогических инструментов, психологии и психологических приёмов, навыки работы с детьми с ОВЗ или инвалидностью. Навыки коммуникации, работы в команде с другими специалистами и родителями. Выявление индивидуальных образовательных потребностей обучающихся в процессе образования и участие в реализации адаптированных образовательных программ обучающихся. Организация образовательной среды для реализации индивидуальных образовательных маршрутов обучающихся с учетом особенностей их психофизического развития, индивидуальных возможностей и состояния здоровья.
Образование: Высшее образование — бакалавриат",27093,28000,СП,Махачкала,0 лет,https://trudvsem.ru/vacancy/card/1020502525603/59e0b2a8-34e1-11f1-a643-f344d815f06b
Старший билетный кассир,"Обеспечение правильного и чёткого учёта билетов и кассовой выручки. Это может включать формирование отчётов о движении билетов; Вежливое и корректное обслуживание зрителей. Старший кассир отвечает на вопросы, касающиеся работы кинотеатра, как при личном общении, так и по телефону; Продажа билетов по цене, утверждённой приказом директора кинотеатра на момент продажи; Подготовка отчётов по окончании работы: о проданных билетах (кассовый отчёт кассира, книга регистрации проданных билетов); Проверка соответствия продажи билетов дневного отчёта плану зрительного зала; Участие в составлении отчётов по кинотеатру в конце месяца; Выполнение отдельных поручений руководства организации.
Образование: Среднее профессиональное образование",27500,28000,"КТ, СП",Магас,0 лет,https://trudvsem.ru/vacancy/card/21e4a480-b31f-11e7-8d40-736ab11edb0c/a6866f69-4ea3-11f1-97f3-f7576f65caec
